dose	peak	decay
0	0.733730706	2.385717329
0	0.640127549	2.006324319
0	1.373513926	1.543373168
0	0.879802144	1.740117952
0	0.430931933	2.6609466
0	0.971846829	2.019820965
0	0.208892233	2.111563649
0	0.504758832	2.993292596
0	0.346641658	2.388716372
0	1.6755277	2.19181092
0	0.556652634	1.744682945
0	0.698706419	2.116062394
0	0.600808743	1.382190282
0	0.831058036	1.583637822
0	0.294845529	1.287249919
0	0.528088287	2.01000276
0	1.118558606	2.098515969
0	0.392733033	2.284289665
0	0.48096975	1.835359583
0	0.572048495	2.526427711
0	0.497304179	1.262621043
0	0.887697473	2.050939379
0	0.809358003	2.814139008
0	0.413801769	1.914212842
0	0.889294402	1.538197632
0	0.363645352	1.892752796
0	0.379736242	2.27231479
0	0.567325681	1.761717168
0	0.165836344	2.24367256
0	0.36666621	1.75902988
0	0.869325099	1.903088389
0	1.025790616	1.439779592
0	0.528895859	1.975473401
0	0.527400788	1.642920525
0	0.827213722	1.643585373
0	0.281514033	1.577912556
0	1.414698013	1.66905761
1.1	0.763720817	3.009229306
1.1	1.277909544	1.221862044
1.1	0.818721207	1.601822233
1.1	0.741971864	1.338071892
1.1	0.516717624	1.261395128
1.1	0.582356915	1.789238446
1.1	0.770180461	1.605626114
1.1	0.71612462	1.633314387
1.1	0.50621608	1.725440936
3.3	0.857922096	0.683730296
3.3	1.080039573	1.378679005
3.3	0.543610027	1.612926639
3.3	1.279742823	2.217796486
3.3	1.295273031	0.873484504
3.3	0.693849372	2.115072642
3.3	0.974911624	1.075467721
3.3	1.176982922	1.480926408
3.3	0.804522705	1.182260885
3.3	0.815846347	1.42772703
3.3	0.688452991	0.572379375
3.3	1.100841483	1.006332853
3.3	1.378177388	0.847693257
3.3	0.677693646	1.576874194
3.8	0.887332705	1.05471325
3.8	1.139705044	1.66963026
3.8	1.127906898	0.632613504
3.8	2.45795061	1.481468313
3.8	0.34014693	1.768709408
3.8	0.571524914	1.276505031
3.8	2.508365399	0.832804502
3.8	1.062394425	0.708098451
3.8	1.27806797	0.879335012
3.8	2.180991784	0.521156613
3.8	0.96347189	0.83156833
3.8	0.526311911	1.297494797
3.8	0.772426834	0.767499762
3.8	0.971375507	0.967522214
3.8	0.789848862	1.545616554
4.4	1.201717976	0.396119612
4.4	0.652049457	0.708343722
4.4	0.501884828	0.90085951
4.4	0.557074512	0.749898951
4.4	1.036131995	1.115878392
4.4	1.305430198	0.889193191
4.4	0.754628704	0.517500576
4.4	0.969174053	0.68069723
4.4	1.519602107	0.768003146
4.4	0.824041578	0.831522693
4.4	1.779330936	0.869353549
4.4	0.926112006	0.8023834
4.4	1.066480104	0.949652285
4.4	0.807410087	0.708073883
4.4	1.137035521	1.100548293
5.6	0.585725289	0.770941667
5.6	1.154826424	0.762333411
5.6	0.369116604	0.988775421
5.6	0.369099438	0.995154592
5.6	0.991219775	0.620317764
5.6	0.632311497	0.738571529
5.6	0.343385368	0.636011748
5.6	0.647908422	0.854353272
5.6	0.483723432	0.47673418
5.6	0.345262379	0.978967855
5.6	0.575689993	0.845536539
5.6	0.295031202	0.681429612
5.6	0.605232355	0.705026202
5.6	0.54233523	0.433026779
5.6	1.307162203	1.263106307
5.6	1.644450145	0.939179664
10.9	0.554826575	1.177307169
10.9	1.139023515	0.919447228
10.9	0.632544677	0.696471467
10.9	1.099238118	0.923099361
10.9	0.926796943	0.685668366
10.9	1.509340554	0.769291129
10.9	1.169590643	0.611317193
10.9	0.944481489	0.839360642
10.9	0.934288675	0.999782048
10.9	0.912681898	0.646954816
10.9	1.842160043	0.705994814
10.9	0.394377129	1.373449033
10.9	0.410042767	0.745633755
10.9	0.790423857	0.624215829
10.9	1.035503265	0.617646532
10.9	0.615691893	0.556203842
Unt	1.412270449	0.956080373
Unt	1.513777009	0.708952208
Unt	1.663376273	0.73829875
Unt	0.748599397	1.001032046
Unt	0.834623564	0.864840056
Unt	1.884893089	0.781506282
Unt	1.29817861	0.767831594
Unt	1.135117028	1.013734457
Unt	1.139390087	1.015024925
Unt	1.554284912	1.299382326
Unt	0.942811041	1.251425114
Unt	1.581359635	0.808043499
Unt	1.769503143	0.72338085
Unt	1.415448325	0.982038865
Unt	0.792827738	0.999409066
Unt	0.206826683	1.343608494
Unt	0.573510288	0.84357719
Unt	0.261620275	1.110893902
Unt	0.381464763	0.951433583
Unt	0.741782186	1.401971998
Unt	0.653762882	0.844907225
Unt	1.640495502	1.337546304
Unt	0.483768678	1.425106607
Unt	1.289215578	1.047367287
Unt	0.697699655	0.825844819
Unt	0.557019741	1.129282131
Unt	1.220628144	1.121089261
Unt	0.680245836	0.994389905
Unt	0.823041138	1.093644617
Unt	0.771970845	1.13164419
Unt	1.479883981	0.785058775
Unt	0.749923383	0.917065884
Unt	0.625950507	1.035117527
